設置者,名称,住所,緯度,経度,電話番号,施設URL,予約URL,アクセス方法,施設名称,施設分類,面数,面積（m2）,観覧席数,夜間照明有無,"表面
（陸上競技場の場合はトラック内表面）",だれでもトイレ数,1周の距離（m）,レーン数,陸上トラック・表面,プール種別,種目1,種目2,種目3,種目4,種目5,種目6,種目7,種目8,種目9,種目10,種目11,種目12,種目13,種目14,種目15,種目16,種目17,種目18,種目19,種目20,種目21,種目22,種目23,種目24,種目25,種目26,備考
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,http://www.tef.or.jp/kopgp/index.jsp,http://www.tef.or.jp/system/reservation.jsp,東急田園都市線「駒沢大学駅」徒歩15分,第二球技場,球技場,1,9171,1618,有,人工芝,1,,,,,ゲートボール,サッカー,ラグビー,アメリカンフットボール,ラクロス,,,,,,,,,,,,,,,,,,,,,,・ＪＦＡ公認人工芝ピッチ
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,http://www.tef.or.jp/kopgp/index.jsp,http://www.tef.or.jp/system/reservation.jsp,東急田園都市線「駒沢大学駅」徒歩15分,テニスコート,テニス（砂入り人工芝）,8,6305,-,-,,0,,,,,テニス,ソフトテニス,,,,,,,,,,,,,,,,,,,,,,,,,・H25にクレーから砂入り人工芝へリニューアル
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,http://www.tef.or.jp/kopgp/index.jsp,http://www.tef.or.jp/system/reservation.jsp,東急田園都市線「駒沢大学駅」徒歩15分,補助競技場,球技場,1,10530,-,有,人工芝,1,,,,,ゲートボール,サッカー,ラグビー,アメリカンフットボール,ラクロス,,,,,,,,,,,,,,,,,,,,,,・ＪＦＡ公認人工芝ピッチ
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,http://www.tef.or.jp/kopgp/index.jsp,http://www.tef.or.jp/system/reservation.jsp,東急田園都市線「駒沢大学駅」徒歩15分,軟式野球場,軟式野球場,2,12565,-,-,天然芝,0,,,,,野球,ソフトボール,,,,,,,,,,,,,,,,,,,,,,,,,・1面は少年野球、ソフトボールのみ。
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,http://www.tef.or.jp/kopgp/index.jsp,http://www.tef.or.jp/system/reservation.jsp,東急田園都市線「駒沢大学駅」徒歩15分,硬式野球場,硬式野球場,1,12956,1307,有,天然芝,1,,,,,野球,ソフトボール,,,,,,,,,,,,,,,,,,,,,,,,,
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,http://www.tef.or.jp/kopgp/index.jsp,http://www.tef.or.jp/system/reservation.jsp,東急田園都市線「駒沢大学駅」徒歩15分,弓道場,弓道場,1,不明,-,-,,1,,,,,弓道,アーチェリー,,,,,,,,,,,,,,,,,,,,,,,,,平成27年度全面改修、平成28年7月リニューアルオープン
東京都オリンピック・パラリンピック準備局,駒沢オリンピック公園総合運動場,世田谷区駒沢公園1-1,35.625574,139.663655,03-3421-6120,http://www.tef.or.jp/kopgp/index.jsp,http://www.tef.or.jp/system/reservation.jsp,東急田園都市線「駒沢大学駅」徒歩15分,トレーニングルーム,トレーニング場,1,1996,-,-,,1,,,,,筋力トレーニング,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都オリンピック・パラリンピック準備局,東京武道館,足立区綾瀬3-20-1,35.765779,139.825792,03-5697-2111,http://www.tef.or.jp/tb/index.jsp,http://sports.tef.or.jp/,東京メトロ千代田線「綾瀬駅」徒歩5分,大武道場,武道場,1,1972,3728,-,,0,,,,,卓球,バドミントン,バレーボール,ソフトバレーボール,居合道,なぎなた,柔道,剣道,空手,少林寺拳法,テコンドー,合気道,気功,太極拳,,,,,,,,,,,,,"大武道場
武道の他バレー、バドミントン、卓球等可。"
東京都オリンピック・パラリンピック準備局,東京武道館,足立区綾瀬3-20-1,35.765779,139.825792,03-5697-2111,http://www.tef.or.jp/tb/index.jsp,http://sports.tef.or.jp/,東京メトロ千代田線「綾瀬駅」徒歩5分,第一武道場,武道場,1,520,30,-,,1,,,,,柔道,空手,,,,,,,,,,,,,,,,,,,,,,,,,柔道・空手畳敷きの武道用。畳を床面に変更可能。だれでもトイレ（1階共通）
東京都オリンピック・パラリンピック準備局,東京武道館,足立区綾瀬3-20-1,35.765779,139.825792,03-5697-2111,http://www.tef.or.jp/tb/index.jsp,http://sports.tef.or.jp/,東京メトロ千代田線「綾瀬駅」徒歩5分,第二武道場,武道場,1,473,30,-,,0,,,,,なぎなた,剣道,,,,,,,,,,,,,,,,,,,,,,,,,第二武道場。剣道、なぎなた板敷きの武道用
東京都オリンピック・パラリンピック準備局,東京武道館,足立区綾瀬3-20-1,35.765779,139.825792,03-5697-2111,http://www.tef.or.jp/tb/index.jsp,http://sports.tef.or.jp/,東京メトロ千代田線「綾瀬駅」徒歩5分,弓道場,弓道場,2,不明,100,有,,0,,,,,弓道,アーチェリー,,,,,,,,,,,,,,,,,,,,,,,,,アーチェリーは競技不可。練習のみ。
東京都オリンピック・パラリンピック準備局,東京武道館,足立区綾瀬3-20-1,35.765779,139.825792,03-5697-2111,http://www.tef.or.jp/tb/index.jsp,http://sports.tef.or.jp/,東京メトロ千代田線「綾瀬駅」徒歩5分,トレーニングルーム,トレーニング場,1,450,-,-,,1,,,,,筋力トレーニング,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都オリンピック・パラリンピック準備局,東京辰巳国際水泳場,江東区辰巳2-8-10,35.647651,139.818932,03-5569-5061,http://www.tatsumi-swim.net/,http://sports.tef.or.jp/,東京メトロ有楽町線「辰巳駅」徒歩10分,メインプール,屋内水泳場,1,1250,5000,-,,2,,,,50mプール,水球,水泳,シンクロナイズドスイミング,水中エアロビクス,,,,,,,,,,,,,,,,,,,,,,,メインプール/日本水泳連盟公認施設(50m10レーン、25m16レーン) /トイレ:共通2
東京都オリンピック・パラリンピック準備局,東京辰巳国際水泳場,江東区辰巳2-8-10,35.647651,139.818932,03-5569-5061,http://www.tatsumi-swim.net/,http://sports.tef.or.jp/,東京メトロ有楽町線「辰巳駅」徒歩10分,ダイビングプール,屋内水泳場,1,625,5000,-,,0,,,,25mプール,スクーバダイビング,水泳,シンクロナイズドスイミング,,,,,,,,,,,,,,,,,,,,,,,,日本水泳連盟公認施設(飛込)/観覧席数はメインプールと合わせて5000席
東京都オリンピック・パラリンピック準備局,東京辰巳国際水泳場,江東区辰巳2-8-10,35.647651,139.818932,03-5569-5061,http://www.tatsumi-swim.net/,http://sports.tef.or.jp/,東京メトロ有楽町線「辰巳駅」徒歩10分,サブプール,屋内水泳場,1,750,-,-,,1,,,,50mプール,スクーバダイビング,水泳,シンクロナイズドスイミング,水中エアロビクス,,,,,,,,,,,,,,,,,,,,,,,サブプール/日本水泳連盟公認施設(50m) ・トイレ:共通1
東京都オリンピック・パラリンピック準備局,東京都障害者総合スポーツセンター,北区十条台1-2-2,35.753929,139.724256,03-3907-5631,http://tsad-portal.com/mscd,なし,ＪＲ埼京線「十条駅」徒歩10分,体育館,体育館,1,368,-,-,,0,,,,,卓球,テニス,バドミントン,ドッジボール,バスケットボール,バレーボール,ソフトバレーボール,フットサル,インディアカ,空手,アーチェリー,合気道,太極拳,トランポリン,社交ダンス・スポーツダンス,エアロビクス,その他,,,,,,,,,,ボッチャ、ゴールボール、シッティングバレーボール/※平成28年度より仮設で運営中　　　　　　　　　　　　
東京都オリンピック・パラリンピック準備局,東京都障害者総合スポーツセンター,北区十条台1-2-2,35.753929,139.724256,03-3907-5631,http://tsad-portal.com/mscd,なし,ＪＲ埼京線「十条駅」徒歩10分,トレーニング室,トレーニング場,1,193,-,-,,3,,,,,筋力トレーニング,体力測定,,,,,,,,,,,,,,,,,,,,,,,,,トイレ：共通1、男1、女1/※平成28年度より仮設で運営中　　　　　　　　　　　　　　　　　　　　　　　　　　
東京都オリンピック・パラリンピック準備局,東京都障害者総合スポーツセンター,北区十条台1-2-2,35.753929,139.724256,03-3907-5631,http://tsad-portal.com/mscd,なし,ＪＲ埼京線「十条駅」徒歩10分,卓球室,卓球場,3,218,-,-,,3,,,,,卓球,その他,,,,,,,,,,,,,,,,,,,,,,,,,トイレ：共通1、男1、女1/1室は一部、休憩所・電動車いす充電スペースとして使用/1室はサウンドテーブルテニス室※平成28年度より仮設で運営中
東京都オリンピック・パラリンピック準備局,東京都障害者総合スポーツセンター,北区十条台1-2-2,35.753929,139.724256,03-3907-5631,http://tsad-portal.com/mscd,なし,ＪＲ埼京線「十条駅」徒歩10分,芝生広場,多目的運動広場,1,1782,-,-,,0,200,6,全天候舗装,,ソフトボール,バレーボール,ターゲットバードゴルフ,ウォーキング,その他,,,,,,,,,,,,,,,,,,,,,,ジャべリックスロー、グラウンドソフトボール、フットベースボール、フライングデスク、グラウンドゴルフ、砲丸投げ、やり投げ、円盤投げ　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　※平成28年度より仮設で運営中
東京都オリンピック・パラリンピック準備局,東京都多摩障害者スポーツセンター,国立市富士見台2-1-1,35.686681,139.446549,042-573-3811,http://tsad-portal.com/tamaspo,なし,ＪＲ中央線「国立駅」バス5分,体育館,体育館,1,754,72,-,,0,,,,,卓球,テニス,バドミントン,ゲートボール,ドッジボール,バスケットボール,バレーボール,ソフトバレーボール,ターゲットバードゴルフ,アーチェリー,太極拳,トランポリン,社交ダンス・スポーツダンス,エアロビクス,その他,,,,,,,,,,,,ゴールボール、ボッチャ、ティーボール、ブラインドテニス、シッティングバレー、グラウンドゴルフ、フライングディスク等可
東京都オリンピック・パラリンピック準備局,東京都多摩障害者スポーツセンター,国立市富士見台2-1-1,35.686681,139.446549,042-573-3811,http://tsad-portal.com/tamaspo,なし,ＪＲ中央線「国立駅」バス5分,トレーニング室,トレーニング場,2,176,-,-,,0,,,,,筋力トレーニング,体力測定,,,,,,,,,,,,,,,,,,,,,,,,,
東京都オリンピック・パラリンピック準備局,東京都多摩障害者スポーツセンター,国立市富士見台2-1-1,35.686681,139.446549,042-573-3811,http://tsad-portal.com/tamaspo,なし,ＪＲ中央線「国立駅」バス5分,屋内温水プール,屋内水泳場,1,655,72,-,,0,,,,25mプール,水泳,水中エアロビクス,その他,,,,,,,,,,,,,,,,,,,,,,,,水中ウォーキング等可
東京都オリンピック・パラリンピック準備局,東京都多摩障害者スポーツセンター,国立市富士見台2-1-1,35.686681,139.446549,042-573-3811,http://tsad-portal.com/tamaspo,なし,ＪＲ中央線「国立駅」バス5分,卓球室,卓球場,1,107,-,-,,0,,,,,卓球,その他,,,,,,,,,,,,,,,,,,,,,,,,, 
東京都オリンピック・パラリンピック準備局,東京都多摩障害者スポーツセンター,国立市富士見台2-1-1,35.686681,139.446549,042-573-3811,http://tsad-portal.com/tamaspo,なし,ＪＲ中央線「国立駅」バス5分,サウンドテーブルテニス室,その他,1,17,-,-,,0,,,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,サウンドテーブルテニス室
東京都オリンピック・パラリンピック準備局,東京都多摩障害者スポーツセンター,国立市富士見台2-1-1,35.686681,139.446549,042-573-3811,http://tsad-portal.com/tamaspo,なし,ＪＲ中央線「国立駅」バス5分,健康体力相談室,健康体力相談室,1,13,-,-,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都オリンピック・パラリンピック準備局,有明テニスの森公園テニス施設,東京都江東区有明2-2-22,35.63467,139.788526,03-3529-3301,http://www.tptc.co.jp/park/02_03,https://yoyaku.sports.metro.tokyo.jp/web/,りんかい線「国際展示場駅」徒歩5分,テニスコート（Ａコート）,テニス（ハード）,16,12614,860,有,,0,,,,,テニス,ソフトテニス,,,,,,,,,,,,,,,,,,,,,,,,,会議室はＡコート隣接のクラブハウス内
東京都オリンピック・パラリンピック準備局,有明テニスの森公園テニス施設,東京都江東区有明2-2-22,35.63467,139.788526,03-3529-3301,http://www.tptc.co.jp/park/02_03,https://yoyaku.sports.metro.tokyo.jp/web/,りんかい線「国際展示場駅」徒歩5分,テニスコート（Ｂコート）,テニス（ハード）,16,11068,-,-,,1,,,,,テニス,ソフトテニス,,,,,,,,,,,,,,,,,,,,,,,,,平成7年度から下水道処理施設のうえに改修
東京都オリンピック・パラリンピック準備局,有明テニスの森公園テニス施設,東京都江東区有明2-2-22,35.63467,139.788526,03-3529-3301,http://www.tptc.co.jp/park/02_03,https://yoyaku.sports.metro.tokyo.jp/web/,りんかい線「国際展示場駅」徒歩5分,テニスコート（Ｃコート）,テニス（砂入り人工芝）,16,11068,-,-,,0,,,,,テニス,ソフトテニス,,,,,,,,,,,,,,,,,,,,,,,,,
東京都オリンピック・パラリンピック準備局,有明テニスの森公園テニス施設,東京都江東区有明2-2-22,35.63467,139.788526,03-3529-3301,http://www.tptc.co.jp/park/02_03,なし,りんかい線「国際展示場駅」徒歩5分,有明コロシアム,テニス（屋内コート）,1,1153,10000,有,,4,,,,,テニス,ソフトテニス,,,,,,,,,,,,,,,,,,,,,,,,,全天候型（開閉式屋根あり）/テニス以外のイベント利用有り（養生必要）。
東京都オリンピック・パラリンピック準備局,若洲海浜公園ヨット訓練所,江東区若洲3-1-1,35.630652,139.837654,03-5569-6703,http://www.tptc.co.jp/park/yac/tabid/398/Default.aspx,なし,ＪＲ京葉線「新木場駅」バス15分,若洲ヨット訓練所,その他,1,47235,-,-,,1,,,,,その他,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都オリンピック・パラリンピック準備局,味の素スタジアム,調布市西町376番地3,35.664235,139.527162,042-440-0555,http://www.ajinomotostadium.com/,http://www.ajinomotostadium.com/,京王線「飛田給駅」徒歩5分,味の素スタジアム,球技場,1,20330,49970,有,天然芝,17,400,9,全天候舗装,,陸上競技,サッカー,ラグビー,アメリカンフットボール,フットサル,,,,,,,,,,,,,,,,,,,,,,ヨット訓練所施設　
東京都オリンピック・パラリンピック準備局,味の素スタジアム,調布市西町376番地3,35.664235,139.527162,042-440-0555,http://www.ajinomotostadium.com/,http://www.ajinomotostadium.com/,京王線「飛田給駅」徒歩5分,アミノバイタルフィールド,球技場,1,13610,3060,有,人工芝,1,,,,,ソフトボール,サッカー,ラグビー,アメリカンフットボール,フットサル,ターゲットバードゴルフ,ラクロス,,,,,,,,,,,,,,,,,,,,だれでもトイレは競技者用、外構部含む
東京都オリンピック・パラリンピック準備局,味の素スタジアム,調布市西町376番地3,35.664235,139.527162,042-440-0555,http://www.ajinomotostadium.com/,http://www.ajinomotostadium.com/,京王線「飛田給駅」徒歩5分,ミズノフットサルプラザ調布,球技場,3,2600,-,有,人工芝,0,,,,,フットサル,,,,,,,,,,,,,,,,,,,,,,,,,,
東京都オリンピック・パラリンピック準備局,味の素スタジアム,調布市西町376番地3,35.664235,139.527162,042-440-0555,http://www.ajinomotostadium.com/,http://www.ajinomotostadium.com/,京王線「飛田給駅」徒歩5分,"ミズノフットサルプラザ
味の素スタジアム",球技場,2,2000,-,有,人工芝,0,,,,,バスケットボール,フットサル,,,,,,,,,,,,,,,,,,,,,,,,,
東京都オリンピック・パラリンピック準備局,味の素スタジアム,調布市西町376番地3,35.664235,139.527162,042-440-0555,http://www.ajinomotostadium.com/,http://www.ajinomotostadium.com/,京王線「飛田給駅」徒歩5分,味の素スタジアム西競技場,球技場,1,19000,3220,-,天然芝,3,400,8,全天候舗装,,陸上競技,サッカー,ラグビー,アメリカンフットボール,フットサル,ラクロス,,,,,,,,,,,,,,,,,,,,,2階は車椅子対応不可
